"SCHEDULEID","USERNAME","BUSINESS","FRECID","FCHIT","FFIRM","FOFFIC","FACCT","FSUBAC","FATYPE","FCUSIP","SUNDCN","FCTYM","FSTYPE","FSUBTY","FSTRIK","FEXPDT","FEXPDT_DT","FTDATE","FTDATE_DT","FBS","FSPRED","FCLASS","FSUBCL","FRR","FQTY","FSDSC1","FMKVAL","FMULTF","FSDATE_DT","FSDATE","FLTDAT_DT","FLTDAT","FEXCH","FFC","FSYMBL","FPTYPE","FTPRIC","FCLOSE","FCURSY","FCALC","FCMNT1","FOC","FEXBKR","FOPBKR","FGIVIO","FGIVF#","FCOMM","FFEE1","FFEE2","FFEE3","FFEE4","FGICHG","FBKCHG","FOTHER","FGROSS","FNET","FTRACE","PROD","ENV","FRTHT","FUCUSP","FUNDCP","FATCOM","FATFE1","FATFE2","FATFE3","FATFE4","FATFE5","FATFE6","FATFE7","FATFE8","FATFE9","FATGIV","FATBKG","FATOTH","FATBKO","FATFLR","FATORD","FATWIR","FATALO","FFUFE1","FFUFE2","FFUFE3","FFUFE4","FFUFE5","FFUFE6","FFUFE7","FFUFE8","FFUFE9","FFUGIV","FFUBKG","FFUOTH","FFUBKO","FFUFLR","FFUORD","FFUWIR","FFUALO","FUSER","FBQTY","FSQTY","FPRTPR","FRECNO","FBATCH","FCARD","FDELET","FSRCAC","FTYPE","FORDTY","FTTYPE","FTBKT","FCMNT2","FCMNT3","FIEXNG","FIEFRM","FDEAL","FDEST","FSDSC2","FCURAT","FSNAME","FREFNO","FTRDEX","FLEVEL","FORDER","FORDOR"
" "," "," ","T","               ","G","1G1","10000","          ","U1",".AC-0000021G"," ","202107","F"," ","0.00000000","0","00000000","20210513","05132021","2"," ","N","G","GAVIL","1.0000","JUL 21 CBT CORN               ","0.00","5000.0000000","05132021","20210513","07142021","20210714","01","C-","      "," ","6.92250000","0.00000000","USD"," "," E"," ","8J9L ","     ","  ","     ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1E13 CMCX0"," "," "," ","            ","0.00000000","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","M","M","M","U","M","M","M","M","M"," ","M","C","M","M","M","M","M","173041    ","0.0000","1.0000","   6.92 1/4","108959","B<2","0589"," ","          "," ","  L","2","  ","  ","  ","  ","     ","       ","B","                              ","USD","                    ","       GAVIL","01","GBX","                         ","  "
" "," "," ","T","               ","G","1G1","20000","          ","U1",".AKW0000021G"," ","202107","F"," ","0.00000000","0","00000000","20210513","05132021","1"," ","N","G","GAVIL","1.0000","JUL 21 KCBT WHEAT             ","0.00","5000.0000000","05132021","20210513","07142021","20210714","01","KW","      "," ","6.52250000","0.00000000","USD"," "," E"," ","8J9L ","     ","  ","     ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1E13 DMHK0"," "," "," ","            ","0.00000000","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","M","M","M","U","M","M","M","M","M"," ","M","C","M","M","M","M","M","173041    ","1.0000","0.0000","   6.52 1/4","155782","B<2","5760"," ","          "," ","  L","2","  ","  ","  ","  ","     ","       ","B","                              ","USD","                    ","       GAVIL","01","GBX","                         ","  "
" "," "," ","T","               ","G","1G1","20000","          ","U1",".AC-0000021G"," ","202107","F"," ","0.00000000","0","00000000","20210513","05132021","1"," ","N","G","GAVIL","1.0000","JUL 21 CBT CORN               ","0.00","5000.0000000","05132021","20210513","07142021","20210714","01","C-","      "," ","6.92250000","0.00000000","USD"," "," E"," ","8J9L ","     ","  ","     ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1E13 CMEI0"," "," "," ","            ","0.00000000","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","M","M","M","U","M","M","M","M","M"," ","M","C","M","M","M","M","M","173041    ","1.0000","0.0000","   6.92 1/4","109016","B<2","5888"," ","          "," ","  L","2","  ","  ","  ","  ","     ","       ","B","                              ","USD","                    ","       GAVIL","01","GBX","                         ","  "
" "," "," ","T","               ","G","1G1","10000","          ","U1",".AKW0000021G"," ","202107","F"," ","0.00000000","0","00000000","20210513","05132021","2"," ","N","G","GAVIL","1.0000","JUL 21 KCBT WHEAT             ","0.00","5000.0000000","05132021","20210513","07142021","20210714","01","KW","      "," ","6.52250000","0.00000000","USD"," "," E"," ","8J9L ","     ","  ","     ","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1E13 DMGL0"," "," "," ","            ","0.00000000","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","U1","M","M","M","U","M","M","M","M","M"," ","M","C","M","M","M","M","M","173041    ","0.0000","1.0000","   6.52 1/4","155747","B<2","6962"," ","          "," ","  L","2","  ","  ","  ","  ","     ","       ","B","                              ","USD","                    ","       GAVIL","01","GBX","                         ","  "
